
########## RESULTS ##########

Round number: 474                 Ave money: $4926.24          Ave winnings: $-73.76
Round number: 476                 Ave money: $4925.33          Ave winnings: $-74.67
Round number: 478                 Ave money: $4924.96          Ave winnings: $-75.04
Round number: 480                 Ave money: $4924.29          Ave winnings: $-75.71
Round number: 482                 Ave money: $4924.45          Ave winnings: $-75.55
Round number: 484                 Ave money: $4924.06          Ave winnings: $-75.94
Round number: 486                 Ave money: $4923.71          Ave winnings: $-76.29
Round number: 488                 Ave money: $4923.40          Ave winnings: $-76.60
Round number: 490                 Ave money: $4923.78          Ave winnings: $-76.22
Round number: 492                 Ave money: $4923.54          Ave winnings: $-76.46
Round number: 494                 Ave money: $4923.02          Ave winnings: $-76.98
Round number: 496                 Ave money: $4922.57          Ave winnings: $-77.43
Round number: 498                 Ave money: $4921.90          Ave winnings: $-78.10
Round number: 500                 Ave money: $4921.54          Ave winnings: $-78.46
Round number: 502                 Ave money: $4921.81          Ave winnings: $-78.19
Round number: 504                 Ave money: $4921.57          Ave winnings: $-78.43
Round number: 506                 Ave money: $4921.20          Ave winnings: $-78.80
Round number: 508                 Ave money: $4921.34          Ave winnings: $-78.66
Round number: 510                 Ave money: $4920.79          Ave winnings: $-79.21
Round number: 512                 Ave money: $4920.89          Ave winnings: $-79.11
Round number: 514                 Ave money: $4921.24          Ave winnings: $-78.76
Round number: 516                 Ave money: $4920.67          Ave winnings: $-79.33
Round number: 518                 Ave money: $4920.52          Ave winnings: $-79.48
Round number: 520                 Ave money: $4919.91          Ave winnings: $-80.09
Round number: 522                 Ave money: $4919.86          Ave winnings: $-80.14
Round number: 524                 Ave money: $4918.97          Ave winnings: $-81.03
Round number: 526                 Ave money: $4918.85          Ave winnings: $-81.15
Round number: 528                 Ave money: $4918.20          Ave winnings: $-81.80
Round number: 530                 Ave money: $4917.32          Ave winnings: $-82.68
Round number: 532                 Ave money: $4916.51          Ave winnings: $-83.49
Round number: 534                 Ave money: $4916.40          Ave winnings: $-83.60
Round number: 536                 Ave money: $4916.45          Ave winnings: $-83.55
Round number: 538                 Ave money: $4916.23          Ave winnings: $-83.77
Round number: 540                 Ave money: $4915.16          Ave winnings: $-84.84
Round number: 542                 Ave money: $4914.75          Ave winnings: $-85.25
Round number: 544                 Ave money: $4914.14          Ave winnings: $-85.86
Round number: 546                 Ave money: $4913.66          Ave winnings: $-86.34
Round number: 548                 Ave money: $4913.29          Ave winnings: $-86.71
Round number: 550                 Ave money: $4912.99          Ave winnings: $-87.01
Round number: 552                 Ave money: $4912.58          Ave winnings: $-87.42
Round number: 554                 Ave money: $4911.93          Ave winnings: $-88.07
Round number: 556                 Ave money: $4911.23          Ave winnings: $-88.77
Round number: 558                 Ave money: $4911.04          Ave winnings: $-88.96
Round number: 560                 Ave money: $4910.89          Ave winnings: $-89.11
Round number: 562                 Ave money: $4910.49          Ave winnings: $-89.51
Round number: 564                 Ave money: $4910.22          Ave winnings: $-89.78
Round number: 566                 Ave money: $4909.42          Ave winnings: $-90.58
Round number: 568                 Ave money: $4909.40          Ave winnings: $-90.60
Round number: 570                 Ave money: $4908.43          Ave winnings: $-91.57
Round number: 572                 Ave money: $4908.43          Ave winnings: $-91.57
Round number: 574                 Ave money: $4908.85          Ave winnings: $-91.15
Round number: 576                 Ave money: $4908.54          Ave winnings: $-91.46
Round number: 578                 Ave money: $4908.94          Ave winnings: $-91.06
Round number: 580                 Ave money: $4908.90          Ave winnings: $-91.10
Round number: 582                 Ave money: $4908.19          Ave winnings: $-91.81
Round number: 584                 Ave money: $4907.51          Ave winnings: $-92.49
Round number: 586                 Ave money: $4907.54          Ave winnings: $-92.46
Round number: 588                 Ave money: $4907.40          Ave winnings: $-92.60
Round number: 590                 Ave money: $4907.76          Ave winnings: $-92.24
Round number: 592                 Ave money: $4907.25          Ave winnings: $-92.75
Round number: 594                 Ave money: $4907.03          Ave winnings: $-92.97
Round number: 596                 Ave money: $4906.66          Ave winnings: $-93.34
Round number: 598                 Ave money: $4906.41          Ave winnings: $-93.59
Round number: 600                 Ave money: $4906.35          Ave winnings: $-93.65
Round number: 602                 Ave money: $4906.65          Ave winnings: $-93.35
Round number: 604                 Ave money: $4906.43          Ave winnings: $-93.57
Round number: 606                 Ave money: $4906.38          Ave winnings: $-93.62
Round number: 608                 Ave money: $4906.80          Ave winnings: $-93.20
Round number: 610                 Ave money: $4906.10          Ave winnings: $-93.90
Round number: 612                 Ave money: $4905.86          Ave winnings: $-94.14
Round number: 614                 Ave money: $4905.52          Ave winnings: $-94.48
Round number: 616                 Ave money: $4905.08          Ave winnings: $-94.92
Round number: 618                 Ave money: $4905.24          Ave winnings: $-94.76
Round number: 620                 Ave money: $4905.50          Ave winnings: $-94.50
Round number: 622                 Ave money: $4904.83          Ave winnings: $-95.17
Round number: 624                 Ave money: $4905.42          Ave winnings: $-94.58
Round number: 626                 Ave money: $4904.94          Ave winnings: $-95.06
Round number: 628                 Ave money: $4904.89          Ave winnings: $-95.11
Round number: 630                 Ave money: $4904.59          Ave winnings: $-95.41
Round number: 632                 Ave money: $4904.09          Ave winnings: $-95.91
Round number: 634                 Ave money: $4904.16          Ave winnings: $-95.84
Round number: 636                 Ave money: $4903.25          Ave winnings: $-96.75
Round number: 638                 Ave money: $4902.06          Ave winnings: $-97.94
Round number: 640                 Ave money: $4901.11          Ave winnings: $-98.89
Round number: 642                 Ave money: $4900.81          Ave winnings: $-99.19
Round number: 644                 Ave money: $4900.46          Ave winnings: $-99.54
Round number: 646                 Ave money: $4900.81          Ave winnings: $-99.19
Round number: 648                 Ave money: $4899.51          Ave winnings: $-100.49
Round number: 650                 Ave money: $4899.17          Ave winnings: $-100.83
Round number: 652                 Ave money: $4898.03          Ave winnings: $-101.97
Round number: 654                 Ave money: $4898.37          Ave winnings: $-101.63
Round number: 656                 Ave money: $4898.55          Ave winnings: $-101.45
Round number: 658                 Ave money: $4897.78          Ave winnings: $-102.22
Round number: 660                 Ave money: $4897.88          Ave winnings: $-102.12
Round number: 662                 Ave money: $4896.83          Ave winnings: $-103.17
Round number: 664                 Ave money: $4896.86          Ave winnings: $-103.14
Round number: 666                 Ave money: $4896.87          Ave winnings: $-103.13
