
########## RESULTS ##########

Round number: 86400               Ave money: $393.94          Ave winnings: $-4606.06
Round number: 87000               Ave money: $387.40          Ave winnings: $-4612.60
Round number: 87600               Ave money: $382.70          Ave winnings: $-4617.30
Round number: 88200               Ave money: $374.74          Ave winnings: $-4625.26
Round number: 88800               Ave money: $370.69          Ave winnings: $-4629.31
Round number: 89400               Ave money: $364.82          Ave winnings: $-4635.18
Round number: 90000               Ave money: $360.57          Ave winnings: $-4639.43
Round number: 90600               Ave money: $357.00          Ave winnings: $-4643.00
Round number: 91200               Ave money: $350.75          Ave winnings: $-4649.25
Round number: 91800               Ave money: $344.74          Ave winnings: $-4655.26
Round number: 92400               Ave money: $343.18          Ave winnings: $-4656.82
Round number: 93000               Ave money: $339.70          Ave winnings: $-4660.30
Round number: 93600               Ave money: $335.66          Ave winnings: $-4664.34
Round number: 94200               Ave money: $328.47          Ave winnings: $-4671.53
Round number: 94800               Ave money: $324.21          Ave winnings: $-4675.78
Round number: 95400               Ave money: $319.41          Ave winnings: $-4680.59
Round number: 96000               Ave money: $313.18          Ave winnings: $-4686.82
Round number: 96600               Ave money: $311.95          Ave winnings: $-4688.05
Round number: 97200               Ave money: $308.98          Ave winnings: $-4691.02
Round number: 97800               Ave money: $305.35          Ave winnings: $-4694.65
Round number: 98400               Ave money: $304.09          Ave winnings: $-4695.91
Round number: 99000               Ave money: $300.26          Ave winnings: $-4699.74
Round number: 99600               Ave money: $295.07          Ave winnings: $-4704.93
Round number: 100200              Ave money: $291.53          Ave winnings: $-4708.47
Round number: 100800              Ave money: $287.09          Ave winnings: $-4712.91
Round number: 101400              Ave money: $283.75          Ave winnings: $-4716.25
Round number: 102000              Ave money: $279.83          Ave winnings: $-4720.16
Round number: 102600              Ave money: $278.41          Ave winnings: $-4721.59
Round number: 103200              Ave money: $272.80          Ave winnings: $-4727.20
Round number: 103800              Ave money: $269.74          Ave winnings: $-4730.26
Round number: 104400              Ave money: $268.41          Ave winnings: $-4731.59
Round number: 105000              Ave money: $265.32          Ave winnings: $-4734.68
Round number: 105600              Ave money: $260.01          Ave winnings: $-4739.99
Round number: 106200              Ave money: $256.72          Ave winnings: $-4743.28
Round number: 106800              Ave money: $254.19          Ave winnings: $-4745.81
Round number: 107400              Ave money: $249.87          Ave winnings: $-4750.14
Round number: 108000              Ave money: $244.94          Ave winnings: $-4755.06
Round number: 108600              Ave money: $241.06          Ave winnings: $-4758.94
Round number: 109200              Ave money: $238.40          Ave winnings: $-4761.60
Round number: 109800              Ave money: $234.61          Ave winnings: $-4765.39
Round number: 110400              Ave money: $230.97          Ave winnings: $-4769.03
Round number: 111000              Ave money: $224.88          Ave winnings: $-4775.12
Round number: 111600              Ave money: $221.29          Ave winnings: $-4778.71
Round number: 112200              Ave money: $221.65          Ave winnings: $-4778.35
Round number: 112800              Ave money: $219.02          Ave winnings: $-4780.98
Round number: 113400              Ave money: $214.43          Ave winnings: $-4785.57
Round number: 114000              Ave money: $210.74          Ave winnings: $-4789.26
Round number: 114600              Ave money: $207.21          Ave winnings: $-4792.79
Round number: 115200              Ave money: $202.91          Ave winnings: $-4797.09
Round number: 115800              Ave money: $200.77          Ave winnings: $-4799.23
Round number: 116400              Ave money: $198.15          Ave winnings: $-4801.85
Round number: 117000              Ave money: $195.40          Ave winnings: $-4804.60
Round number: 117600              Ave money: $192.62          Ave winnings: $-4807.38
Round number: 118200              Ave money: $189.17          Ave winnings: $-4810.83
Round number: 118800              Ave money: $188.87          Ave winnings: $-4811.13
Round number: 119400              Ave money: $186.32          Ave winnings: $-4813.68
Round number: 120000              Ave money: $184.47          Ave winnings: $-4815.53
Round number: 120600              Ave money: $180.90          Ave winnings: $-4819.10
Round number: 121200              Ave money: $177.70          Ave winnings: $-4822.30
Round number: 121800              Ave money: $175.51          Ave winnings: $-4824.49
Round number: 122400              Ave money: $171.82          Ave winnings: $-4828.18
Round number: 123000              Ave money: $169.16          Ave winnings: $-4830.84
Round number: 123600              Ave money: $167.44          Ave winnings: $-4832.56
Round number: 124200              Ave money: $164.85          Ave winnings: $-4835.15
Round number: 124800              Ave money: $162.59          Ave winnings: $-4837.41
Round number: 125400              Ave money: $160.45          Ave winnings: $-4839.55
Round number: 126000              Ave money: $159.12          Ave winnings: $-4840.88
Round number: 126600              Ave money: $157.54          Ave winnings: $-4842.46
Round number: 127200              Ave money: $155.75          Ave winnings: $-4844.25
Round number: 127800              Ave money: $154.74          Ave winnings: $-4845.27
Round number: 128400              Ave money: $152.72          Ave winnings: $-4847.28
Round number: 129000              Ave money: $151.82          Ave winnings: $-4848.18
Round number: 129600              Ave money: $151.40          Ave winnings: $-4848.60
Round number: 130200              Ave money: $150.22          Ave winnings: $-4849.78
Round number: 130800              Ave money: $148.24          Ave winnings: $-4851.77
Round number: 131400              Ave money: $146.58          Ave winnings: $-4853.42
Round number: 132000              Ave money: $142.62          Ave winnings: $-4857.38
Round number: 132600              Ave money: $140.78          Ave winnings: $-4859.22
Round number: 133200              Ave money: $138.43          Ave winnings: $-4861.57
Round number: 133800              Ave money: $136.88          Ave winnings: $-4863.12
Round number: 134400              Ave money: $133.39          Ave winnings: $-4866.61
Round number: 135000              Ave money: $133.46          Ave winnings: $-4866.54
Round number: 135600              Ave money: $131.79          Ave winnings: $-4868.21
Round number: 136200              Ave money: $130.77          Ave winnings: $-4869.23
Round number: 136800              Ave money: $129.41          Ave winnings: $-4870.59
Round number: 137400              Ave money: $126.35          Ave winnings: $-4873.65
Round number: 138000              Ave money: $125.72          Ave winnings: $-4874.28
Round number: 138600              Ave money: $123.85          Ave winnings: $-4876.15
Round number: 139200              Ave money: $123.33          Ave winnings: $-4876.67
Round number: 139800              Ave money: $119.50          Ave winnings: $-4880.50
Round number: 140400              Ave money: $119.08          Ave winnings: $-4880.92
Round number: 141000              Ave money: $118.50          Ave winnings: $-4881.50
Round number: 141600              Ave money: $118.15          Ave winnings: $-4881.85
Round number: 142200              Ave money: $116.33          Ave winnings: $-4883.67
Round number: 142800              Ave money: $114.20          Ave winnings: $-4885.80
Round number: 143400              Ave money: $112.35          Ave winnings: $-4887.65
Round number: 144000              Ave money: $110.88          Ave winnings: $-4889.12
Round number: 144600              Ave money: $108.72          Ave winnings: $-4891.27
Round number: 145200              Ave money: $107.82          Ave winnings: $-4892.18
Round number: 145800              Ave money: $106.53          Ave winnings: $-4893.47
Round number: 146400              Ave money: $105.47          Ave winnings: $-4894.53
Round number: 147000              Ave money: $103.33          Ave winnings: $-4896.67
Round number: 147600              Ave money: $103.00          Ave winnings: $-4897.00
Round number: 148200              Ave money: $103.19          Ave winnings: $-4896.81
Round number: 148800              Ave money: $103.18          Ave winnings: $-4896.82
Round number: 149400              Ave money: $102.00          Ave winnings: $-4898.00
