
########## RESULTS ##########

Round number: 45600               Ave money: $1103.94          Ave winnings: $-3896.06
Round number: 45900               Ave money: $1092.89          Ave winnings: $-3907.11
Round number: 46200               Ave money: $1081.61          Ave winnings: $-3918.39
Round number: 46500               Ave money: $1070.00          Ave winnings: $-3930.00
Round number: 46800               Ave money: $1060.24          Ave winnings: $-3939.76
Round number: 47100               Ave money: $1053.07          Ave winnings: $-3946.93
Round number: 47400               Ave money: $1045.89          Ave winnings: $-3954.11
Round number: 47700               Ave money: $1034.45          Ave winnings: $-3965.55
Round number: 48000               Ave money: $1026.89          Ave winnings: $-3973.11
Round number: 48300               Ave money: $1017.18          Ave winnings: $-3982.82
Round number: 48600               Ave money: $1004.67          Ave winnings: $-3995.33
Round number: 48900               Ave money: $996.30          Ave winnings: $-4003.70
Round number: 49200               Ave money: $986.53          Ave winnings: $-4013.47
Round number: 49500               Ave money: $975.62          Ave winnings: $-4024.38
Round number: 49800               Ave money: $968.11          Ave winnings: $-4031.89
Round number: 50100               Ave money: $960.16          Ave winnings: $-4039.84
Round number: 50400               Ave money: $953.36          Ave winnings: $-4046.64
Round number: 50700               Ave money: $944.47          Ave winnings: $-4055.53
Round number: 51000               Ave money: $936.48          Ave winnings: $-4063.52
Round number: 51300               Ave money: $928.69          Ave winnings: $-4071.31
Round number: 51600               Ave money: $921.56          Ave winnings: $-4078.44
Round number: 51900               Ave money: $915.40          Ave winnings: $-4084.60
Round number: 52200               Ave money: $906.30          Ave winnings: $-4093.70
Round number: 52500               Ave money: $901.33          Ave winnings: $-4098.67
Round number: 52800               Ave money: $894.01          Ave winnings: $-4105.99
Round number: 53100               Ave money: $886.95          Ave winnings: $-4113.05
Round number: 53400               Ave money: $877.75          Ave winnings: $-4122.24
Round number: 53700               Ave money: $873.14          Ave winnings: $-4126.86
Round number: 54000               Ave money: $867.55          Ave winnings: $-4132.44
Round number: 54300               Ave money: $861.14          Ave winnings: $-4138.86
Round number: 54600               Ave money: $854.06          Ave winnings: $-4145.94
Round number: 54900               Ave money: $845.58          Ave winnings: $-4154.42
Round number: 55200               Ave money: $840.50          Ave winnings: $-4159.50
Round number: 55500               Ave money: $834.74          Ave winnings: $-4165.26
Round number: 55800               Ave money: $827.45          Ave winnings: $-4172.55
Round number: 56100               Ave money: $819.85          Ave winnings: $-4180.15
Round number: 56400               Ave money: $815.05          Ave winnings: $-4184.95
Round number: 56700               Ave money: $808.54          Ave winnings: $-4191.46
Round number: 57000               Ave money: $802.67          Ave winnings: $-4197.33
Round number: 57300               Ave money: $796.18          Ave winnings: $-4203.82
Round number: 57600               Ave money: $792.87          Ave winnings: $-4207.13
Round number: 57900               Ave money: $784.19          Ave winnings: $-4215.81
Round number: 58200               Ave money: $776.74          Ave winnings: $-4223.27
Round number: 58500               Ave money: $770.39          Ave winnings: $-4229.61
Round number: 58800               Ave money: $764.84          Ave winnings: $-4235.16
Round number: 59100               Ave money: $757.27          Ave winnings: $-4242.73
Round number: 59400               Ave money: $749.51          Ave winnings: $-4250.49
Round number: 59700               Ave money: $744.13          Ave winnings: $-4255.87
Round number: 60000               Ave money: $737.13          Ave winnings: $-4262.86
Round number: 60300               Ave money: $728.85          Ave winnings: $-4271.15
Round number: 60600               Ave money: $722.39          Ave winnings: $-4277.61
Round number: 60900               Ave money: $715.10          Ave winnings: $-4284.90
Round number: 61200               Ave money: $709.18          Ave winnings: $-4290.82
Round number: 61500               Ave money: $700.66          Ave winnings: $-4299.34
Round number: 61800               Ave money: $693.80          Ave winnings: $-4306.20
Round number: 62100               Ave money: $689.98          Ave winnings: $-4310.02
Round number: 62400               Ave money: $683.35          Ave winnings: $-4316.65
Round number: 62700               Ave money: $678.15          Ave winnings: $-4321.85
Round number: 63000               Ave money: $671.20          Ave winnings: $-4328.80
Round number: 63300               Ave money: $665.81          Ave winnings: $-4334.19
Round number: 63600               Ave money: $660.65          Ave winnings: $-4339.35
Round number: 63900               Ave money: $653.71          Ave winnings: $-4346.29
Round number: 64200               Ave money: $651.51          Ave winnings: $-4348.48
Round number: 64500               Ave money: $648.38          Ave winnings: $-4351.62
Round number: 64800               Ave money: $643.46          Ave winnings: $-4356.54
Round number: 65100               Ave money: $640.71          Ave winnings: $-4359.30
Round number: 65400               Ave money: $637.52          Ave winnings: $-4362.48
Round number: 65700               Ave money: $632.93          Ave winnings: $-4367.07
Round number: 66000               Ave money: $628.89          Ave winnings: $-4371.11
Round number: 66300               Ave money: $624.40          Ave winnings: $-4375.60
Round number: 66600               Ave money: $618.41          Ave winnings: $-4381.59
