
########## RESULTS ##########

Round number: 312                 Ave money: $455.58          Ave winnings: $-44.42
Round number: 314                 Ave money: $454.72          Ave winnings: $-45.28
Round number: 316                 Ave money: $454.84          Ave winnings: $-45.16
Round number: 318                 Ave money: $454.15          Ave winnings: $-45.85
Round number: 320                 Ave money: $454.44          Ave winnings: $-45.56
Round number: 322                 Ave money: $454.24          Ave winnings: $-45.76
Round number: 324                 Ave money: $453.68          Ave winnings: $-46.32
Round number: 326                 Ave money: $453.70          Ave winnings: $-46.30
Round number: 328                 Ave money: $453.27          Ave winnings: $-46.73
Round number: 330                 Ave money: $452.85          Ave winnings: $-47.15
Round number: 332                 Ave money: $452.08          Ave winnings: $-47.92
Round number: 334                 Ave money: $451.85          Ave winnings: $-48.15
Round number: 336                 Ave money: $451.12          Ave winnings: $-48.88
Round number: 338                 Ave money: $451.05          Ave winnings: $-48.95
Round number: 340                 Ave money: $451.25          Ave winnings: $-48.75
Round number: 342                 Ave money: $451.26          Ave winnings: $-48.74
Round number: 344                 Ave money: $450.91          Ave winnings: $-49.09
Round number: 346                 Ave money: $450.45          Ave winnings: $-49.55
Round number: 348                 Ave money: $450.44          Ave winnings: $-49.56
Round number: 350                 Ave money: $449.84          Ave winnings: $-50.16
Round number: 352                 Ave money: $450.26          Ave winnings: $-49.74
Round number: 354                 Ave money: $449.83          Ave winnings: $-50.17
Round number: 356                 Ave money: $449.38          Ave winnings: $-50.62
Round number: 358                 Ave money: $449.34          Ave winnings: $-50.66
Round number: 360                 Ave money: $449.37          Ave winnings: $-50.63
Round number: 362                 Ave money: $449.08          Ave winnings: $-50.92
Round number: 364                 Ave money: $449.18          Ave winnings: $-50.82
Round number: 366                 Ave money: $448.75          Ave winnings: $-51.25
Round number: 368                 Ave money: $448.25          Ave winnings: $-51.75
Round number: 370                 Ave money: $447.74          Ave winnings: $-52.26
Round number: 372                 Ave money: $447.76          Ave winnings: $-52.24
Round number: 374                 Ave money: $447.69          Ave winnings: $-52.31
Round number: 376                 Ave money: $447.91          Ave winnings: $-52.09
Round number: 378                 Ave money: $447.63          Ave winnings: $-52.37
Round number: 380                 Ave money: $447.63          Ave winnings: $-52.37
Round number: 382                 Ave money: $447.51          Ave winnings: $-52.49
